| LVL | Item 👢            | Efekt                      |            +0 |            +1 |             +2 |             +3 |             +4 |             +5 |             +6 |             +7 |             +8 |             +9 |             +10 |
| --: | ------------------ | -------------------------- | ------------: | ------------: | -------------: | -------------: | -------------: | -------------: | -------------: | -------------: | -------------: | -------------: | --------------: |
|   1 | Stare Kalosze      | Speed upraw                |         2.00% |         2.30% |          2.60% |          2.90% |          3.20% |          3.50% |          3.80% |          4.10% |          4.40% |          4.70% |           5.00% |
|   3 | Kalosze Rolnika    | Speed upraw                |         3.00% |         3.45% |          3.90% |          4.35% |          4.80% |          5.25% |          5.70% |          6.15% |          6.60% |          7.05% |           7.50% |
|   6 | Buty Polowe        | Efekt podlewania           |         5.00% |         5.75% |          6.50% |          7.25% |          8.00% |          8.75% |          9.50% |         10.25% |         11.00% |         11.75% |          12.50% |
|   9 | Buty Zbieracza     | Speed zbioru               |         4.00% |         4.60% |          5.20% |          5.80% |          6.40% |          7.00% |          7.60% |          8.20% |          8.80% |          9.40% |          10.00% |
|  12 | Buty Błotne        | Efekt podlewania           |         8.00% |         9.20% |         10.40% |         11.60% |         12.80% |         14.00% |         15.20% |         16.40% |         17.60% |         18.80% |          20.00% |
|  15 | Ostrogi Hodowcy    | Reward zwierząt            |         6.00% |         6.90% |          7.80% |          8.70% |          9.60% |         10.50% |         11.40% |         12.30% |         13.20% |         14.10% |          15.00% |
|  18 | Szybkie Kalosze    | Speed upraw                |         6.00% |         6.90% |          7.80% |          8.70% |          9.60% |         10.50% |         11.40% |         12.30% |         13.20% |         14.10% |          15.00% |
|  21 | Buty Sadownika     | Speed drzew                |         8.00% |         9.20% |         10.40% |         11.60% |         12.80% |         14.00% |         15.20% |         16.40% |         17.60% |         18.80% |          20.00% |
|  24 | Buty Zaradności    | Efekt podlewania           |        10.00% |        11.50% |         13.00% |         14.50% |         16.00% |         17.50% |         19.00% |         20.50% |         22.00% |         23.50% |          25.00% |
|  27 | Buty Burzy         | Speed upraw + Speed zbioru | 8.00% / 4.00% | 9.20% / 4.60% | 10.40% / 5.20% | 11.60% / 5.80% | 12.80% / 6.40% | 14.00% / 7.00% | 15.20% / 7.60% | 16.40% / 8.20% | 17.60% / 8.80% | 18.80% / 9.40% | 20.00% / 10.00% |
|  30 | Legendarne Kalosze | Speed upraw                |        10.00% |        11.50% |         13.00% |         14.50% |         16.00% |         17.50% |         19.00% |         20.50% |         22.00% |         23.50% |          25.00% |
